"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"231","Getting more sun could protect you from the flu... here's how... https://t.co/1hQJU3Gfgs #flu #Flu2018 #influenza… https://t.co/gi7Vi62kJD",FALSE,0,NA,2018-03-08 22:24:41,TRUE,NA,"971874373375152129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoomerBaby54",0,FALSE,FALSE,NA,NA
"232","RT @usmint: #OTD in 1918: first report of influenza at Camp Funston (Ft. Riley) Kansas. “Spanish flu” spreads through contact or close prox…",FALSE,0,NA,2018-03-08 22:22:37,FALSE,NA,"971873853155762177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katpowell",9,TRUE,FALSE,NA,NA
"233","RT @NMNH: The 1918 influenza pandemic infected over a third of the world's population. Tonight (3/7), at 6:30pm ET, we will delve into the…",FALSE,0,NA,2018-03-08 22:21:41,FALSE,NA,"971873616202817536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ImmunizedotCa",37,TRUE,FALSE,NA,NA
"234","RT @usmint: #OTD in 1918: first report of influenza at Camp Funston (Ft. Riley) Kansas. “Spanish flu” spreads through contact or close prox…",FALSE,0,NA,2018-03-08 22:18:28,FALSE,NA,"971872808052572161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThisDayInWWI",9,TRUE,FALSE,NA,NA
"235","Review of This Year’s Severe Flu Season: @CDCgov, @US_FDA, @NIH and @BARDA Officials Discuss | #Regulatory Focus… https://t.co/juAVTJqoHs",FALSE,3,NA,2018-03-08 22:17:54,TRUE,NA,"971872664804569088",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","RAPSorg",1,FALSE,FALSE,NA,NA
"236","RT @CDCFlu: In recent weeks, influenza B viruses have been increasing while influenza A(H3N2) viruses have been decreasing. The proportion…",FALSE,0,NA,2018-03-08 22:17:47,FALSE,NA,"971872634202812416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FeG_MO",19,TRUE,FALSE,NA,NA
"237","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:17:07,FALSE,NA,"971872466279821313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NHPublicHealth",350,TRUE,FALSE,NA,NA
"238","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:13:27,FALSE,NA,"971871543021178881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr_AlyaZ",350,TRUE,FALSE,NA,NA
"239","RT @pti_nps: #CDC’s Advisory Committee on Immunization Practices (#ACIP) voted in support of the intranasal #flu #vaccine, #FluMist Quadriv…",FALSE,0,NA,2018-03-08 22:06:06,FALSE,NA,"971869695073771521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Anna_Bird15",2,TRUE,FALSE,NA,NA
"240","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:04:53,FALSE,NA,"971869391087390720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PacksonAtlantic",350,TRUE,FALSE,NA,NA
