"","lon","lat"
"1",-95.0513172,29.4607876
"2",-60.6505388,-32.9442426
"3",-79.7990319,43.3255196
"4",-118.2436849,34.0522342
"5",NA,NA
"6",-77.0368707,38.9071923
"7",-82.9000751,32.1656221
"8",-71.542969,-35.675147
"9",-79.3831843,43.653226
"10",-97.7430608,30.267153
"11",-86.2519898,41.6763545
"12",46.6752957,24.7135517
"13",-77.0947092,38.984652
"14",-86.5804473,35.5174913
"15",-96.7311034,43.5445959
"16",-100.3509665,44.3683156
"17",-117.1483648,33.4936391
"18",-57.575926,-25.2637399
"19",-74.0059728,40.7127753
"20",-80.4549026,38.5976262
"21",-125.0219451,49.7064188
"22",NA,NA
"23",-70.6692655,-33.4488897
"24",-75.1969346,39.8422093
"25",NA,NA
"26",-86.902298,32.3182314
"27",-81.6326234,38.3498195
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",0.290472,50.768035
"32",18.0685808,59.3293235
"33",-122.0230146,37.2638324
"34",NA,NA
"35",-87.9064736,43.0389025
"36",-74.1502007,40.5795317
"37",-99.9018131,31.9685988
"38",NA,NA
"39",NA,NA
"40",-97.7430608,30.267153
"41",-79.9958864,40.4406248
"42",-4.7277528,37.5442706
"43",-93.6091064,41.6005448
"44",-82.907123,40.4172871
"45",-95.712891,37.09024
"46",-86.158068,39.768403
"47",-119.4179324,36.778261
"48",-114.7420408,44.0682019
"49",-75.1652215,39.9525839
"50",-111.8314724,33.4151843
"51",-121.4943996,38.5815719
"52",-77.1527578,39.0839973
"53",-121.4943996,38.5815719
"54",NA,NA
"55",-66.58973,6.42375
"56",-74.5402506,40.2677539
"57",-109.0764828,35.7444602
"58",-75.1969346,39.8422093
"59",NA,NA
"60",-83.9737086,42.0694101
"61",-81.6326234,38.3498195
"62",-95.3698028,29.7604267
"63",NA,NA
"64",-95.712891,37.09024
"65",-81.6326234,38.3498195
"66",-119.4179324,36.778261
"67",-79.3831843,43.653226
"68",-85.6023643,44.3148443
"69",-84.2963123,33.7748275
"70",-77.1710914,38.882334
"71",-84.3879824,33.7489954
"72",NA,NA
"73",-79.3831843,43.653226
"74",NA,NA
"75",-74.5143232,40.9012101
"76",-84.3879824,33.7489954
"77",-82.05077,29.063309
"78",-73.8648268,40.8447819
"79",-72.5778415,44.5588028
"80",-75.1969346,39.8422093
"81",-75.1969346,39.8422093
"82",-77.0368707,38.9071923
"83",-84.3879824,33.7489954
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",-95.712891,37.09024
"88",NA,NA
"89",-79.3831843,43.653226
"90",-74.4173877,40.8652865
"91",-122.6716063,45.6318397
"92",NA,NA
"93",-81.6943605,41.49932
"94",-75.6971931,45.4215296
"95",-74.6329363,40.5695474
"96",-75.7496572,39.6837226
"97",NA,NA
"98",-76.1783739,40.0466571
"99",-88.0834059,42.0333607
"100",-73.9983821,40.6394368
"101",-82.3940104,34.8526176
"102",-76.1783739,40.0466571
"103",-80.2331036,26.1275862
"104",NA,NA
"105",-79.7625625,34.1954331
"106",NA,NA
"107",-81.3304953,48.4758208
"108",-115.1398296,36.1699412
"109",-76.6121893,39.2903848
"110",-90.0348139,34.9553719
"111",-76.8205119,42.167019
"112",NA,NA
"113",-74.0059728,40.7127753
"114",-77.4360481,37.5407246
"115",NA,NA
"116",2.3522219,48.856614
"117",-95.712891,37.09024
"118",5.4294692,52.1317932
"119",-102.552784,23.634501
"120",NA,NA
"121",2.6370411,48.8499198
"122",-73.9962972,40.7198073
"123",-116.5452921,33.8302961
"124",-124.0432099,46.3089891
"125",-106.2800242,43.4113604
"126",138.6007456,-34.9284989
"127",NA,NA
"128",NA,NA
"129",-121.6555013,36.6777372
"130",-84.3346473,33.9462125
"131",-111.0937311,34.0489281
"132",NA,NA
"133",-84.3982763,39.5150576
"134",-72.7130983,41.7398102
"135",NA,NA
"136",-97.1383744,49.895136
"137",NA,NA
"138",-81.5157535,27.6648274
"139",NA,NA
"140",-122.0981847,47.9128756
"141",-121.7405167,38.5449065
"142",-86.5804473,35.5174913
"143",-95.4560512,30.3118769
"144",-96.0083018,32.7092955
"145",NA,NA
"146",-85.6023643,44.3148443
"147",-74.0059728,40.7127753
"148",-73.9874872,40.6918913
"149",NA,NA
"150",-115.1398296,36.1699412
"151",-77.042754,-12.0463731
"152",-94.7976958,29.3013479
"153",-120.7401385,47.7510741
"154",-115.1398296,36.1699412
"155",-77.0722585,38.9076089
"156",-95.712891,37.09024
"157",-106.346771,56.130366
"158",-85.323214,51.253775
"159",-115.1398296,36.1699412
"160",-5.9844589,37.3890924
"161",NA,NA
"162",-106.346771,56.130366
"163",-102.552784,23.634501
"164",-76.9930319,39.0398315
"165",-95.3698028,29.7604267
"166",-93.7400446,36.4045254
"167",NA,NA
"168",-93.3237824,36.5902022
"169",-122.0651819,37.9100783
"170",-79.0849436,43.0895577
"171",-106.346771,56.130366
"172",138.252924,36.204824
"173",NA,NA
"174",NA,NA
"175",39.2375507,21.2854067
"176",-95.712891,37.09024
"177",-94.7335709,38.9536174
"178",-115.1398296,36.1699412
"179",NA,NA
"180",-83.5378674,41.6528052
"181",NA,NA
"182",-92.2895948,34.7464809
"183",-80.0997657,26.3184123
"184",-117.9389526,34.0686208
"185",-93.2009998,44.9374831
"186",NA,NA
"187",NA,NA
"188",-77.0368707,38.9071923
"189",-79.6903316,44.3893556
"190",-87.6297982,41.8781136
"191",35.243322,38.963745
"192",-100.4049143,20.5844042
"193",-91.9876419,30.1644657
"194",-94.7353649,37.0248437
"195",-93.6091064,41.6005448
"196",-77.0368707,38.9071923
"197",-119.791009,39.1860227
"198",NA,NA
"199",-77.0368707,38.9071923
"200",-77.0368707,38.9071923
"201",-74.0059728,40.7127753
"202",-89.3985283,40.6331249
"203",-95.0431997,40.7234542
"204",-115.4733551,35.0109911
"205",NA,NA
"206",-84.3879824,33.7489954
"207",-84.2807329,30.4382559
"208",NA,NA
"209",-73.955995,40.719283
"210",-71.5723953,43.1938516
"211",-86.1349019,40.2671941
"212",0.0302354,5.7348119
"213",-88.1807675,43.0143117
"214",NA,NA
"215",-88.7878678,43.7844397
"216",-92.7232456,41.7434092
"217",NA,NA
"218",NA,NA
"219",-87.6297982,41.8781136
"220",-88.795112,33.453769
"221",-75.5742467,40.6519679
"222",-70.162651,18.735693
"223",-120.6412827,35.1427533
"224",-74.2401609,40.8298006
"225",NA,NA
"226",-115.1398296,36.1699412
"227",NA,NA
"228",NA,NA
"229",-75.977985,36.8529263
"230",-81.2058208,28.6131122
"231",NA,NA
"232",-116.2146068,43.6187102
"233",NA,NA
"234",106.7853922,-6.1138942
"235",-122.1817252,37.4529598
"236",-96.8236116,33.1506744
"237",-82.9987942,39.9611755
"238",-121.1930041,38.8212889
"239",-73.7867428,43.0829453
"240",-117.1610838,32.715738
"241",106.9340133,-6.3959549
"242",NA,NA
"243",-122.4194155,37.7749295
"244",-86.5263879,39.7606013
"245",-3.7849057,37.7795941
"246",-82.907123,40.4172871
"247",NA,NA
"248",-84.2807329,30.4382559
"249",-73.9441579,40.6781784
"250",-74.6894563,40.2339271
"251",NA,NA
"252",-82.3940104,34.8526176
"253",NA,NA
"254",-82.907123,40.4172871
"255",-74.7801645,40.7859331
"256",-93.0899578,44.9537029
"257",-77.0368707,38.9071923
"258",NA,NA
"259",-77.0368707,38.9071923
"260",NA,NA
"261",-77.0368707,38.9071923
"262",-77.0368707,38.9071923
"263",NA,NA
"264",-122.4077498,37.654656
"265",-0.1477681,51.5070995
"266",NA,NA
"267",34.851612,31.046051
"268",-90.1994042,38.6270025
"269",NA,NA
"270",-74.0059728,40.7127753
"271",-88.6392483,35.4380715
"272",-74.0059728,40.7127753
"273",-95.712891,37.09024
"274",NA,NA
"275",-96.7969879,32.7766642
"276",-87.1386067,32.9445682
"277",-119.4179324,36.778261
"278",NA,NA
"279",NA,NA
"280",-84.3879824,33.7489954
"281",-89.9751266,35.1299623
"282",-81.7981908,41.4819932
"283",-92.2895948,34.7464809
"284",-82.9376804,39.9689532
"285",-82.9987942,39.9611755
"286",NA,NA
"287",-82.0131924,39.9403453
"288",-77.0947092,38.984652
"289",-93.2922989,37.2089572
"290",-95.971261,36.153315
"291",-71.1097335,42.3736158
"292",-76.6412712,39.0457549
"293",-78.6381787,35.7795897
"294",-74.1213172,41.3317251
"295",-106.346771,56.130366
"296",74.3587473,31.5203696
"297",-75.6971931,45.4215296
"298",-100.4602762,31.4382686
"299",-66.8850627,10.5002633
"300",-79.0192997,35.7595731
"301",NA,NA
"302",-78.8777941,42.8815891
"303",NA,NA
"304",-82.9987942,39.9611755
"305",NA,NA
"306",-118.6284245,35.1591307
"307",NA,NA
"308",-80.1917902,25.7616798
"309",-77.0368707,38.9071923
"310",-123.8052935,39.445723
"311",-86.730953,36.214796
"312",-78.6568942,37.4315734
"313",-94.846681,39.7674578
"314",3.876716,43.610769
"315",-101.677883,21.1227621
"316",NA,NA
"317",-84.4643744,33.8648262
"318",-70.6692655,-33.4488897
"319",NA,NA
"320",-90.231657,38.640288
"321",NA,NA
"322",-85.6023643,44.3148443
"323",-95.4112203,37.3456569
"324",46.6752957,24.7135517
"325",-2.970721,56.462018
"326",NA,NA
"327",-4.2026458,56.4906712
"328",-2.58791,51.454513
"329",NA,NA
"330",-86.5804473,35.5174913
"331",-88.5820107,39.2953618
"332",NA,NA
"333",1.2444909,41.1188827
"334",-117.1610838,32.715738
"335",NA,NA
"336",5.2057909,7.2571325
"337",-115.1398296,36.1699412
"338",-84.1916069,39.7589478
"339",NA,NA
"340",-116.419389,34.9592083
"341",-84.3879824,33.7489954
"342",NA,NA
"343",-95.971261,36.153315
"344",-87.6297982,41.8781136
"345",-93.0537839,34.1209292
"346",-95.712891,37.09024
"347",-82.9987942,39.9611755
"348",-80.3553302,25.8195424
"349",-86.5804473,35.5174913
"350",-95.712891,37.09024
"351",-97.092877,35.0077519
"352",101.686855,3.139003
"353",NA,NA
"354",NA,NA
"355",-122.2913078,37.8271784
"356",-121.4943996,38.5815719
"357",-80.3553302,25.8195424
"358",NA,NA
"359",NA,NA
"360",NA,NA
"361",NA,NA
"362",NA,NA
"363",-106.346771,56.130366
"364",-93.2650108,44.977753
"365",-66.590149,18.220833
"366",-76.8720961,38.7849211
"367",NA,NA
"368",-84.3879824,33.7489954
"369",-95.712891,37.09024
"370",-115.1398296,36.1699412
"371",-115.1398296,36.1699412
"372",-95.971261,36.153315
"373",-118.2436849,34.0522342
"374",-71.0588801,42.3600825
"375",-94.6707917,38.9822282
"376",-111.8910474,40.7607793
"377",-96.8236116,33.1506744
"378",-77.5425986,39.8406628
"379",-85.7584557,38.2526647
"380",42.7378758,18.3027447
"381",-87.6297982,41.8781136
"382",-122.2711137,37.8043637
"383",NA,NA
"384",NA,NA
"385",-77.0368707,38.9071923
"386",-97.5164276,35.4675602
"387",-77.0368707,38.9071923
"388",-117.1610838,32.715738
"389",-76.915807,38.928167
"390",-79.3831843,43.653226
"391",NA,NA
"392",-75.5276699,38.9108325
"393",-97.7430608,30.267153
"394",-103.6238367,40.2588686
"395",-74.0059728,40.7127753
"396",-74.0059728,40.7127753
"397",-77.2013705,39.1434406
"398",-122.4194155,37.7749295
"399",12.5683372,55.6760968
"400",-95.712891,37.09024
"401",-97.8019515,30.2979843
"402",-110.3625658,46.8796822
"403",-85.6023643,44.3148443
"404",-77.0368707,38.9071923
"405",-77.0368707,38.9071923
"406",-122.0307963,36.9741171
"407",-77.0368707,38.9071923
"408",-99.9018131,31.9685988
"409",-95.712891,37.09024
"410",-71.3161718,42.6334247
"411",-76.6412712,39.0457549
"412",NA,NA
"413",NA,NA
"414",-83.8305144,42.9572508
"415",-94.8191285,38.8813958
"416",-99.9018131,41.4925374
"417",-77.0368707,38.9071923
"418",-78.7030721,34.3387802
"419",-74.0059728,40.7127753
"420",-117.1610838,32.715738
"421",NA,NA
"422",NA,NA
"423",-119.4179324,36.778261
"424",NA,NA
"425",-95.3698028,29.7604267
"426",-117.0841955,32.6400541
"427",NA,NA
"428",-77.1945247,41.2033216
"429",NA,NA
"430",-3.435973,55.378051
